epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.387,2.82165,4.22489,1.51126,0.20145,0.16828,0.0297,0.00985,2.30022,3.53928,1.25194,0.000329167,0.000329167,0.000329167
2,373.984,2.45154,3.18856,1.31456,0.23704,0.11626,0.04727,0.0162,2.27311,3.18886,1.2263,0.000649383,0.000649383,0.000649383
3,8713.73,2.39081,3.00639,1.3011,0.43064,0.05825,0.07079,0.02506,2.23731,3.15901,1.2581,0.000956398,0.000956398,0.000956398
4,17262.6,2.37083,2.91606,1.31656,0.26598,0.14803,0.0583,0.01869,2.27836,3.14901,1.25624,0.0009406,0.0009406,0.0009406
5,25520.2,2.3403,2.83176,1.2843,0.42663,0.1458,0.07294,0.02479,2.24263,3.05049,1.2955,0.0009208,0.0009208,0.0009208
6,32674.8,2.33409,2.80116,1.30918,0.43664,0.159,0.08688,0.03034,2.21892,2.84615,1.31046,0.000901,0.000901,0.000901
7,35490.5,2.33125,2.73863,1.31456,0.25188,0.18011,0.07215,0.02632,2.15123,2.88779,1.22723,0.0008812,0.0008812,0.0008812
8,35657.2,2.32881,2.68359,1.27887,0.26871,0.14974,0.07829,0.02763,2.17637,2.76471,1.25152,0.0008614,0.0008614,0.0008614
9,35821.7,2.29901,2.65205,1.27599,0.2859,0.17401,0.09237,0.03332,2.19031,2.66904,1.25546,0.0008416,0.0008416,0.0008416
10,36016.1,2.2886,2.61735,1.26564,0.30888,0.1587,0.10006,0.03451,2.18996,2.65011,1.26851,0.0008218,0.0008218,0.0008218
11,36293.4,2.29892,2.56968,1.25489,0.11999,0.18522,0.08995,0.03144,2.15725,2.69901,1.23655,0.000802,0.000802,0.000802
12,36535.7,2.25638,2.51083,1.25956,0.10064,0.24679,0.09789,0.03586,2.13707,2.64921,1.22793,0.0007822,0.0007822,0.0007822
13,36771.5,2.25402,2.45899,1.26187,0.14704,0.22038,0.12073,0.04232,2.14839,2.54206,1.24478,0.0007624,0.0007624,0.0007624
14,36996.8,2.25771,2.42955,1.2558,0.15523,0.21933,0.11221,0.0396,2.22496,2.54766,1.2743,0.0007426,0.0007426,0.0007426
15,37244.1,2.25813,2.41865,1.23675,0.16908,0.17602,0.11511,0.04114,2.21754,2.58357,1.26607,0.0007228,0.0007228,0.0007228
16,37630.7,2.23992,2.38905,1.26498,0.1678,0.21519,0.11437,0.0401,2.20248,2.54058,1.24572,0.000703,0.000703,0.000703
17,41092.1,2.21838,2.34737,1.24953,0.18625,0.21642,0.12545,0.04638,2.15877,2.49324,1.23384,0.0006832,0.0006832,0.0006832
18,41268.4,2.2245,2.36961,1.24331,0.15478,0.22551,0.12456,0.04394,2.15622,2.456,1.22692,0.0006634,0.0006634,0.0006634
19,41458.8,2.20188,2.32565,1.23782,0.22128,0.23408,0.13931,0.04942,2.1444,2.45732,1.2432,0.0006436,0.0006436,0.0006436
20,41655.4,2.21128,2.30523,1.27181,0.1572,0.23223,0.10928,0.03792,2.16847,2.62681,1.23073,0.0006238,0.0006238,0.0006238
21,41856,2.22177,2.27433,1.23073,0.18381,0.21106,0.13163,0.04745,2.13342,2.4723,1.21958,0.000604,0.000604,0.000604
22,42254,2.21819,2.32602,1.25569,0.18673,0.22915,0.12855,0.04675,2.12454,2.54838,1.2445,0.0005842,0.0005842,0.0005842
23,42452.3,2.2051,2.28306,1.24161,0.20062,0.25328,0.136,0.04935,2.13674,2.45109,1.23764,0.0005644,0.0005644,0.0005644
24,42683.5,2.21408,2.29655,1.23006,0.1666,0.23827,0.12846,0.04638,2.14532,2.51878,1.2244,0.0005446,0.0005446,0.0005446
25,42909.6,2.22473,2.20435,1.25438,0.18828,0.22811,0.14043,0.05335,2.12828,2.37745,1.24215,0.0005248,0.0005248,0.0005248
26,43140.4,2.20575,2.18757,1.23029,0.17607,0.23255,0.14245,0.05161,2.15122,2.39743,1.23643,0.000505,0.000505,0.000505
27,43359.9,2.20282,2.22369,1.23099,0.22438,0.22105,0.14324,0.05168,2.12966,2.40566,1.22008,0.0004852,0.0004852,0.0004852
28,43557.9,2.18342,2.20099,1.23099,0.23426,0.18719,0.14074,0.05067,2.16937,2.576,1.25506,0.0004654,0.0004654,0.0004654
29,43746.2,2.18246,2.18925,1.22888,0.20972,0.23709,0.15175,0.05415,2.1446,2.39261,1.22761,0.0004456,0.0004456,0.0004456
30,43889,2.18645,2.21405,1.23706,0.19638,0.269,0.15323,0.05575,2.14861,2.34858,1.24755,0.0004258,0.0004258,0.0004258
31,44068.9,2.1809,2.15843,1.22384,0.18192,0.25501,0.14209,0.05253,2.13792,2.40043,1.2319,0.000406,0.000406,0.000406
32,44243,2.16871,2.1348,1.22321,0.19173,0.25559,0.15488,0.05733,2.14947,2.34686,1.24502,0.0003862,0.0003862,0.0003862
33,44419.6,2.13864,2.11908,1.22422,0.20078,0.26273,0.14601,0.0547,2.15961,2.33942,1.22677,0.0003664,0.0003664,0.0003664
34,44598.1,2.18082,2.09378,1.20204,0.21887,0.27321,0.16214,0.05972,2.14027,2.30152,1.24196,0.0003466,0.0003466,0.0003466
35,73040.8,2.17725,2.05481,1.22586,0.22182,0.2555,0.16028,0.05722,2.1494,2.32057,1.24625,0.0003268,0.0003268,0.0003268
36,73175.7,2.16131,2.0756,1.18994,0.18306,0.27657,0.15464,0.05502,2.13397,2.35568,1.21585,0.000307,0.000307,0.000307
37,73311.2,2.12793,2.06384,1.20694,0.23808,0.26899,0.1707,0.06147,2.13013,2.32023,1.22146,0.0002872,0.0002872,0.0002872
38,73447.6,2.14523,2.03363,1.22302,0.23414,0.23952,0.15768,0.058,2.14226,2.33034,1.23019,0.0002674,0.0002674,0.0002674
39,73583.3,2.12623,2.03888,1.20706,0.22008,0.26166,0.16122,0.05779,2.15721,2.36245,1.23261,0.0002476,0.0002476,0.0002476
40,73718.5,2.14371,2.02481,1.22968,0.21619,0.24626,0.1661,0.05997,2.14654,2.33177,1.24218,0.0002278,0.0002278,0.0002278
41,73852.9,2.12073,2.04775,1.23652,0.24311,0.22429,0.15747,0.05683,2.15245,2.37173,1.22516,0.000208,0.000208,0.000208
42,74016.3,2.10707,1.99401,1.23998,0.23537,0.25134,0.17339,0.0634,2.15015,2.27689,1.22905,0.0001882,0.0001882,0.0001882
43,74150.5,2.09763,1.98805,1.24239,0.1932,0.27807,0.15853,0.06089,2.1432,2.33015,1.23698,0.0001684,0.0001684,0.0001684
44,74285.1,2.09596,1.96677,1.22524,0.19303,0.27163,0.16334,0.06045,2.1521,2.30012,1.23921,0.0001486,0.0001486,0.0001486
45,74419.8,2.0704,1.91379,1.24378,0.21657,0.27234,0.16823,0.06164,2.14429,2.28092,1.23966,0.0001288,0.0001288,0.0001288
46,74551.9,2.09304,1.91326,1.24384,0.20464,0.30022,0.17109,0.06363,2.1604,2.28898,1.25133,0.000109,0.000109,0.000109
47,74683.6,2.07914,1.89449,1.23102,0.20434,0.2602,0.16448,0.06011,2.17226,2.30134,1.24341,8.92e-05,8.92e-05,8.92e-05
48,74816.2,2.0955,1.91099,1.24426,0.19771,0.2678,0.16027,0.05871,2.15916,2.30081,1.24404,6.94e-05,6.94e-05,6.94e-05
49,74948.9,2.07628,1.90551,1.22392,0.19644,0.26728,0.16157,0.05925,2.15685,2.27031,1.24033,4.96e-05,4.96e-05,4.96e-05
50,75082,2.06136,1.86166,1.22007,0.21688,0.24559,0.16785,0.06241,2.15712,2.27477,1.24038,2.98e-05,2.98e-05,2.98e-05
